UNIQUE ID,TITLE,Category,Proposed URL,SOURCE,OWNER,STATUS
1,Space Intro,Space Basics,http://lookup.com/basic,http://en.wikipedia.org/wiki/Space,Caro,Needs to be written
2,Planet,Our System,http://lookup.com/planets,http://en.wikipedia.org/wiki/Planets,Caro,Needs formatting
3,Mercury,Our System,http://lookup.com/planets,http://en.wikipedia.org/wiki/Mercury_(planet),Caro,Needs formatting
4,Venus,Our System,http://lookup.com/planets,http://en.wikipedia.org/wiki/Venus,Caro,Needs formatting
5,Earth,Our System,http://lookup.com/planets,http://en.wikipedia.org/wiki/Earth,Caro,Needs formatting
6,Mars,Our System,http://lookup.com/planets,http://en.wikipedia.org/wiki/Mars,Caro,Needs formatting
7,Jupiter,Our System,http://lookup.com/planets,http://en.wikipedia.org/wiki/Jupiter,Caro,Needs formatting
8,Saturn,Our System,http://lookup.com/planets,http://en.wikipedia.org/wiki/Saturn,Caro,Needs formatting
9,Uranus,Our System,http://lookup.com/planets,http://en.wikipedia.org/wiki/Uranus,Caro,Needs formatting
10,Neptune,Our System,http://lookup.com/planets,http://en.wikipedia.org/wiki/Neptune,Caro,Needs formatting
11,Space Exploration,Space Basics,http://lookup.com/basic,http://en.wikipedia.org/wiki/Space_exploration,Caro,Needs formatting
12,Diamond Planet,Stuff,http://lookup.com/extras,http://en.wikipedia.org/wiki/PSR_J1719-1438_b,Caro,Needs formatting
13,Largest Known Star,Stars,http://lookup.com/extras,http://en.wikipedia.org/wiki/VY_Canis_Majoris,Caro,Needs formatting
14,Nebula,Stuff,http://lookup.com/phenomenons,https://en.wikipedia.org/wiki/Nebula,Caro,Needs formatting
15,Comet,Stuff,http://lookup.com/entities,https://en.wikipedia.org/wiki/Commet,Caro,Needs formatting
16,Star,Stars,http://lookup.com/entities,http://en.wikipedia.org/wiki/Stars,Caro,Needs formatting
17,Meteorite,Stuff,http://lookup.com/entities,http://en.wikipedia.org/wiki/Meteorite,Caro,Needs formatting
18,Meteor Shower,Stuff,http://lookup.com/phenomenons,http://en.wikipedia.org/wiki/Meteor_shower,Caro,Needs formatting
19,Milky Way,Stars,http://lookup.com/extras,http://en.wikipedia.org/wiki/Milky_Way,Caro,Needs formatting
20,Black Holes,Stuff,http://lookup.com/phenomenons,http://en.wikipedia.org/wiki/Black_holes,Caro,Needs formatting
21,Cosmic Microwave Background,Stuff,http://lookup.com/phenomenons,http://en.wikipedia.org/wiki/Cosmic_microwave_background_radiation,Caro,Needs formatting
22,Exoplanet,Stuff,http://lookup.com/entities,http://en.wikipedia.org/wiki/Exoplanet,Caro,Needs formatting
23,Interacting Galaxy,Stuff,http://lookup.com/phenomenons,http://en.wikipedia.org/wiki/Galactic_cannibalism,Caro,Needs formatting
24,Quasars,Stuff,http://lookup.com/phenomenons,http://en.wikipedia.org/wiki/Quasar,Caro,Needs formatting
25,Galaxy,Stuff,http://lookup.com/entities,http://en.wikipedia.org/wiki/Galaxy,Caro,Needs formatting
26,Constellation,Stars,,,,
27,Zodiac,Stars,,,,
